nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/policy_distillation/src/wandb/run-20250304_054002-rhyduq17
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_spaceinvaders
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/rhyduq17
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: SpaceInvadersNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_spaceinvaders
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 57. train_acc:  59.7, train_loss:  0.783, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00519, data_load_time:  8.13e-07, total_eval_time:  4.79, test_score:  1.58e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 58. train_acc:  59.9, train_loss:  0.78, data_points:  5.4e+05, total_data_gen_time:  86.2, train_time:  0.00547, data_load_time:  8.1e-07, total_eval_time:  5.35, test_score:  2.43e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 59. train_acc:  60, train_loss:  0.779, data_points:  5.4e+05, total_data_gen_time:  85.5, train_time:  0.00547, data_load_time:  7.09e-07, total_eval_time:  7.18, test_score:  2.96e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 60. train_acc:  60.2, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00537, data_load_time:  8.15e-07, total_eval_time:  3.79, test_score:  875, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 61. train_acc:  60.1, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  86.4, train_time:  0.00514, data_load_time:  7.96e-07, total_eval_time:  5.3, test_score:  1.39e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 62. train_acc:  60.1, train_loss:  0.78, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00529, data_load_time:  7.61e-07, total_eval_time:  4.56, test_score:  2.2e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 63. train_acc:  60.2, train_loss:  0.779, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00555, data_load_time:  8.53e-07, total_eval_time:  3.86, test_score:  850, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 64. train_acc:  60.1, train_loss:  0.78, data_points:  5.4e+05, total_data_gen_time:  87.9, train_time:  0.00537, data_load_time:  7.61e-07, total_eval_time:  5.75, test_score:  1.3e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 65. train_acc:  60.3, train_loss:  0.776, data_points:  5.4e+05, total_data_gen_time:  84.2, train_time:  0.00544, data_load_time:  7.79e-07, total_eval_time:  5.84, test_score:  1.8e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 66. train_acc:  60.2, train_loss:  0.778, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00544, data_load_time:  8.65e-07, total_eval_time:  4.87, test_score:  1.2e+03, best_score:  3.24e+03, current lr:  0.0001, 
