nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034821-h13gwbcf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/h13gwbcf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 37. train_acc:  62.5, train_loss:  0.766, data_points:  5.4e+05, total_data_gen_time:  87.9, train_time:  0.00568, data_load_time:  1.01e-06, total_eval_time:  6.28, test_score:  1e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 38. train_acc:  62.6, train_loss:  0.767, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00578, data_load_time:  1.11e-06, total_eval_time:  6.89, test_score:  1.19e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 39. train_acc:  62.7, train_loss:  0.761, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00581, data_load_time:  1.07e-06, total_eval_time:  6.03, test_score:  1.04e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 40. train_acc:  62.9, train_loss:  0.753, data_points:  5.4e+05, total_data_gen_time:  105, train_time:  0.00632, data_load_time:  1.11e-06, total_eval_time:  6.27, test_score:  7.41e+03, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 41. train_acc:  62.9, train_loss:  0.752, data_points:  5.4e+05, total_data_gen_time:  106, train_time:  0.0061, data_load_time:  1.06e-06, total_eval_time:  5.97, test_score:  1.09e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 42. train_acc:  62.9, train_loss:  0.752, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00692, data_load_time:  1.16e-06, total_eval_time:  5.51, test_score:  1.03e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 43. train_acc:  63, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  88.1, train_time:  0.00636, data_load_time:  1.09e-06, total_eval_time:  6, test_score:  1.12e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 44. train_acc:  62.9, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00618, data_load_time:  1.16e-06, total_eval_time:  6.78, test_score:  1.04e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 45. train_acc:  63, train_loss:  0.747, data_points:  5.4e+05, total_data_gen_time:  86.4, train_time:  0.00576, data_load_time:  1.11e-06, total_eval_time:  5.89, test_score:  1.19e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 46. train_acc:  63.1, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00564, data_load_time:  1.15e-06, total_eval_time:  6.5, test_score:  1.02e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 47. train_acc:  63.3, train_loss:  0.738, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00571, data_load_time:  1.05e-06, total_eval_time:  6.47, test_score:  1.36e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 48. train_acc:  63.3, train_loss:  0.737, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00576, data_load_time:  1.18e-06, total_eval_time:  6.8, test_score:  1.52e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 49. train_acc:  63.4, train_loss:  0.732, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00649, data_load_time:  1.08e-06, total_eval_time:  6.57, test_score:  1.2e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 50. train_acc:  63.5, train_loss:  0.733, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00575, data_load_time:  1.07e-06, total_eval_time:  6.97, test_score:  1.18e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 51. train_acc:  63.5, train_loss:  0.731, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00594, data_load_time:  1.04e-06, total_eval_time:  6.74, test_score:  1.14e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 52. train_acc:  63.8, train_loss:  0.725, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00596, data_load_time:  1.04e-06, total_eval_time:  5.54, test_score:  1.06e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 53. train_acc:  63.6, train_loss:  0.726, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00598, data_load_time:  1.07e-06, total_eval_time:  5.91, test_score:  1.1e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 54. train_acc:  63.8, train_loss:  0.72, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00646, data_load_time:  1.09e-06, total_eval_time:  6.48, test_score:  1.02e+04, best_score:  1.55e+04, current lr:  0.0001, 
