nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_022058-emjcbulv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/emjcbulv
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 31. train_acc:  45.1, train_loss:  0.778, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00303, data_load_time:  5.28e-07, total_eval_time:  30.8, test_score:  2.83e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 32. train_acc:  45.1, train_loss:  0.776, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00326, data_load_time:  4.86e-07, total_eval_time:  33.3, test_score:  3.04e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 33. train_acc:  45.2, train_loss:  0.779, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00353, data_load_time:  5.21e-07, total_eval_time:  10.6, test_score:  3.55e+03, best_score:  4.99e+03, current lr:  0.0001, 
Epoch 34. train_acc:  45.1, train_loss:  0.783, data_points:  5.4e+05, total_data_gen_time:  83.9, train_time:  0.00338, data_load_time:  5.14e-07, total_eval_time:  59, test_score:  5.59e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 35. train_acc:  45.1, train_loss:  0.786, data_points:  5.4e+05, total_data_gen_time:  63.3, train_time:  0.00334, data_load_time:  4.69e-07, total_eval_time:  56.4, test_score:  5.37e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 36. train_acc:  45.2, train_loss:  0.781, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00365, data_load_time:  5.5e-07, total_eval_time:  7.48, test_score:  3.24e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 37. train_acc:  45.3, train_loss:  0.784, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.00381, data_load_time:  5.38e-07, total_eval_time:  11.7, test_score:  4.69e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 38. train_acc:  45.4, train_loss:  0.783, data_points:  5.4e+05, total_data_gen_time:  82.4, train_time:  0.00305, data_load_time:  5e-07, total_eval_time:  10.8, test_score:  4.25e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 39. train_acc:  45.3, train_loss:  0.787, data_points:  5.4e+05, total_data_gen_time:  81.7, train_time:  0.00376, data_load_time:  5.99e-07, total_eval_time:  13.4, test_score:  5.51e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 40. train_acc:  45.4, train_loss:  0.788, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00379, data_load_time:  5.13e-07, total_eval_time:  10.1, test_score:  3.63e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 41. train_acc:  45.6, train_loss:  0.78, data_points:  5.4e+05, total_data_gen_time:  82.2, train_time:  0.00378, data_load_time:  5.69e-07, total_eval_time:  44.1, test_score:  4.26e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 42. train_acc:  45.7, train_loss:  0.776, data_points:  5.4e+05, total_data_gen_time:  82.9, train_time:  0.00376, data_load_time:  5.37e-07, total_eval_time:  37.6, test_score:  3.84e+03, best_score:  5.59e+03, current lr:  0.0001, 
Epoch 43. train_acc:  45.8, train_loss:  0.774, data_points:  5.4e+05, total_data_gen_time:  82.6, train_time:  0.00348, data_load_time:  5.12e-07, total_eval_time:  76.8, test_score:  5.76e+03, best_score:  5.76e+03, current lr:  0.0001, 
Epoch 44. train_acc:  45.8, train_loss:  0.77, data_points:  5.4e+05, total_data_gen_time:  82.1, train_time:  0.00322, data_load_time:  5.04e-07, total_eval_time:  9.73, test_score:  3.4e+03, best_score:  5.76e+03, current lr:  0.0001, 
Epoch 45. train_acc:  46, train_loss:  0.763, data_points:  5.4e+05, total_data_gen_time:  64.4, train_time:  0.00332, data_load_time:  5.12e-07, total_eval_time:  8.93, test_score:  3.19e+03, best_score:  5.76e+03, current lr:  0.0001, 
Epoch 46. train_acc:  46.1, train_loss:  0.762, data_points:  5.4e+05, total_data_gen_time:  77.1, train_time:  0.00331, data_load_time:  5.23e-07, total_eval_time:  9.65, test_score:  2.38e+03, best_score:  5.76e+03, current lr:  0.0001, 
Epoch 47. train_acc:  46.1, train_loss:  0.76, data_points:  5.4e+05, total_data_gen_time:  73.8, train_time:  0.00278, data_load_time:  4.82e-07, total_eval_time:  9.81, test_score:  4.58e+03, best_score:  5.76e+03, current lr:  0.0001, 
Epoch 48. train_acc:  46.1, train_loss:  0.761, data_points:  5.4e+05, total_data_gen_time:  62.8, train_time:  0.00278, data_load_time:  4.36e-07, total_eval_time:  56.3, test_score:  2.46e+03, best_score:  5.76e+03, current lr:  0.0001, 
