nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_045708-ooulay9s
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/ooulay9s
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BreakoutNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 51. train_acc:  75.1, train_loss:  0.393, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00285, data_load_time:  9.69e-07, total_eval_time:  111, test_score:  617, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 52. train_acc:  75.2, train_loss:  0.393, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00255, data_load_time:  8.67e-07, total_eval_time:  74.1, test_score:  36, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 53. train_acc:  75.3, train_loss:  0.388, data_points:  5.4e+05, total_data_gen_time:  87, train_time:  0.00261, data_load_time:  8.62e-07, total_eval_time:  74.3, test_score:  538, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 54. train_acc:  75.3, train_loss:  0.389, data_points:  5.4e+05, total_data_gen_time:  84.5, train_time:  0.00273, data_load_time:  9.29e-07, total_eval_time:  5.77, test_score:  232, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 55. train_acc:  75.4, train_loss:  0.386, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00292, data_load_time:  1.11e-06, total_eval_time:  120, test_score:  529, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 56. train_acc:  75.5, train_loss:  0.383, data_points:  5.4e+05, total_data_gen_time:  84.1, train_time:  0.00277, data_load_time:  1.05e-06, total_eval_time:  74.3, test_score:  329, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 57. train_acc:  75.8, train_loss:  0.377, data_points:  5.4e+05, total_data_gen_time:  84.3, train_time:  0.00302, data_load_time:  1.21e-06, total_eval_time:  142, test_score:  239, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 58. train_acc:  75.8, train_loss:  0.377, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00298, data_load_time:  1.09e-06, total_eval_time:  112, test_score:  735, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 59. train_acc:  75.9, train_loss:  0.377, data_points:  5.4e+05, total_data_gen_time:  82.6, train_time:  0.00305, data_load_time:  1.04e-06, total_eval_time:  73.2, test_score:  29, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 60. train_acc:  76, train_loss:  0.374, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00304, data_load_time:  1.09e-06, total_eval_time:  5.61, test_score:  209, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 61. train_acc:  76.1, train_loss:  0.374, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00233, data_load_time:  9.64e-07, total_eval_time:  40.2, test_score:  108, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 62. train_acc:  76.1, train_loss:  0.373, data_points:  5.4e+05, total_data_gen_time:  82.7, train_time:  0.00249, data_load_time:  9.43e-07, total_eval_time:  180, test_score:  150, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 63. train_acc:  76.2, train_loss:  0.372, data_points:  5.4e+05, total_data_gen_time:  83.3, train_time:  0.00255, data_load_time:  9.18e-07, total_eval_time:  72.9, test_score:  550, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 64. train_acc:  76.3, train_loss:  0.369, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00229, data_load_time:  8.67e-07, total_eval_time:  178, test_score:  602, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 65. train_acc:  76.4, train_loss:  0.368, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.0023, data_load_time:  8.85e-07, total_eval_time:  181, test_score:  83, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 66. train_acc:  76.3, train_loss:  0.368, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00283, data_load_time:  8.88e-07, total_eval_time:  151, test_score:  595, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 67. train_acc:  76.4, train_loss:  0.368, data_points:  5.4e+05, total_data_gen_time:  83.3, train_time:  0.00307, data_load_time:  1e-06, total_eval_time:  178, test_score:  534, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 68. train_acc:  76.6, train_loss:  0.363, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00286, data_load_time:  1.07e-06, total_eval_time:  175, test_score:  472, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 69. train_acc:  76.6, train_loss:  0.363, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00286, data_load_time:  9.77e-07, total_eval_time:  7.09, test_score:  251, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 70. train_acc:  76.8, train_loss:  0.359, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00279, data_load_time:  9.45e-07, total_eval_time:  4.56, test_score:  92, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 71. train_acc:  76.7, train_loss:  0.36, data_points:  5.4e+05, total_data_gen_time:  83.8, train_time:  0.00314, data_load_time:  1.08e-06, total_eval_time:  73, test_score:  504, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 72. train_acc:  77, train_loss:  0.357, data_points:  5.4e+05, total_data_gen_time:  82.9, train_time:  0.00294, data_load_time:  1.02e-06, total_eval_time:  5.35, test_score:  110, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 73. train_acc:  77, train_loss:  0.359, data_points:  5.4e+05, total_data_gen_time:  85.5, train_time:  0.00277, data_load_time:  9.78e-07, total_eval_time:  4.49, test_score:  101, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 74. train_acc:  76.9, train_loss:  0.36, data_points:  5.4e+05, total_data_gen_time:  81.6, train_time:  0.00247, data_load_time:  9.43e-07, total_eval_time:  39.7, test_score:  250, best_score:  1.12e+03, current lr:  0.0001, 
