nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/policy_distillation/src/wandb/run-20250304_053943-u69mzvbi
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd_spaceinvaders
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/u69mzvbi
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: SpaceInvadersNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd_spaceinvaders
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 59. train_acc:  60.5, train_loss:  0.769, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00265, data_load_time:  8.11e-07, total_eval_time:  5.81, test_score:  2.44e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 60. train_acc:  60.4, train_loss:  0.771, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00278, data_load_time:  7.8e-07, total_eval_time:  4.63, test_score:  1.42e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 61. train_acc:  60.3, train_loss:  0.772, data_points:  5.4e+05, total_data_gen_time:  87.4, train_time:  0.00265, data_load_time:  6.82e-07, total_eval_time:  4.23, test_score:  1.44e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 62. train_acc:  60.2, train_loss:  0.773, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00266, data_load_time:  6.99e-07, total_eval_time:  4.71, test_score:  935, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 63. train_acc:  60.3, train_loss:  0.771, data_points:  5.4e+05, total_data_gen_time:  86.7, train_time:  0.00276, data_load_time:  7.35e-07, total_eval_time:  4.44, test_score:  1.76e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 64. train_acc:  60.5, train_loss:  0.769, data_points:  5.4e+05, total_data_gen_time:  86.7, train_time:  0.0027, data_load_time:  8.05e-07, total_eval_time:  5.61, test_score:  2.02e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 65. train_acc:  60.4, train_loss:  0.77, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00267, data_load_time:  7.61e-07, total_eval_time:  4.77, test_score:  2.14e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 66. train_acc:  60.6, train_loss:  0.765, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.0027, data_load_time:  7.35e-07, total_eval_time:  5.31, test_score:  1.1e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 67. train_acc:  60.7, train_loss:  0.762, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00266, data_load_time:  7.18e-07, total_eval_time:  4.71, test_score:  1.42e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 68. train_acc:  60.8, train_loss:  0.76, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00264, data_load_time:  6.68e-07, total_eval_time:  5.85, test_score:  1.54e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 69. train_acc:  60.9, train_loss:  0.756, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.0027, data_load_time:  7.3e-07, total_eval_time:  4.43, test_score:  1.74e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 70. train_acc:  60.7, train_loss:  0.757, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00265, data_load_time:  7.19e-07, total_eval_time:  5.33, test_score:  1.25e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 71. train_acc:  61.2, train_loss:  0.751, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00257, data_load_time:  7.15e-07, total_eval_time:  5.87, test_score:  1.29e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 72. train_acc:  61.1, train_loss:  0.75, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00275, data_load_time:  7.5e-07, total_eval_time:  4.25, test_score:  1.26e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 73. train_acc:  61.2, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  87.9, train_time:  0.00265, data_load_time:  7.21e-07, total_eval_time:  4.88, test_score:  1.7e+03, best_score:  2.84e+03, current lr:  0.0001, 
