nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054859-0lras3xf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_00001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/0lras3xf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 1.0e-05
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_00001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 34. train_acc:  44.6, train_loss:  0.794, data_points:  5.4e+05, total_data_gen_time:  62, train_time:  0.00295, data_load_time:  5.14e-07, total_eval_time:  41.4, test_score:  2.72e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 35. train_acc:  44.7, train_loss:  0.787, data_points:  5.4e+05, total_data_gen_time:  80.1, train_time:  0.00329, data_load_time:  5.08e-07, total_eval_time:  81, test_score:  3.77e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 36. train_acc:  44.9, train_loss:  0.787, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00318, data_load_time:  5.03e-07, total_eval_time:  79.5, test_score:  924, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 37. train_acc:  45, train_loss:  0.787, data_points:  5.4e+05, total_data_gen_time:  60.6, train_time:  0.00361, data_load_time:  5.73e-07, total_eval_time:  8.45, test_score:  3.39e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 38. train_acc:  45.2, train_loss:  0.781, data_points:  5.4e+05, total_data_gen_time:  60.4, train_time:  0.00303, data_load_time:  5.56e-07, total_eval_time:  109, test_score:  3.2e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 39. train_acc:  45.2, train_loss:  0.781, data_points:  5.4e+05, total_data_gen_time:  79.8, train_time:  0.003, data_load_time:  4.94e-07, total_eval_time:  55.3, test_score:  2.79e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 40. train_acc:  45.4, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  61.5, train_time:  0.00276, data_load_time:  4.78e-07, total_eval_time:  82.9, test_score:  2.6e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 41. train_acc:  45.6, train_loss:  0.772, data_points:  5.4e+05, total_data_gen_time:  60.7, train_time:  0.00266, data_load_time:  4.67e-07, total_eval_time:  10.8, test_score:  3.14e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 42. train_acc:  45.5, train_loss:  0.77, data_points:  5.4e+05, total_data_gen_time:  77.6, train_time:  0.00306, data_load_time:  5.2e-07, total_eval_time:  32.1, test_score:  3.79e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 43. train_acc:  45.8, train_loss:  0.764, data_points:  5.4e+05, total_data_gen_time:  74.6, train_time:  0.00355, data_load_time:  5.71e-07, total_eval_time:  43.7, test_score:  4.37e+03, best_score:  5.03e+03, current lr:  0.0001, 
