nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034741-njuc4u8h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/njuc4u8h
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 30. train_acc:  61.7, train_loss:  0.781, data_points:  5.4e+05, total_data_gen_time:  84.2, train_time:  0.00312, data_load_time:  9.51e-07, total_eval_time:  6.27, test_score:  1.22e+04, best_score:  1.23e+04, current lr:  0.0001, 
Epoch 31. train_acc:  61.7, train_loss:  0.78, data_points:  5.4e+05, total_data_gen_time:  86.7, train_time:  0.00301, data_load_time:  1.02e-06, total_eval_time:  6.85, test_score:  1.55e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 32. train_acc:  61.9, train_loss:  0.774, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00315, data_load_time:  1.1e-06, total_eval_time:  7.29, test_score:  1.16e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 33. train_acc:  62, train_loss:  0.778, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00306, data_load_time:  1.04e-06, total_eval_time:  6.78, test_score:  1.28e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 34. train_acc:  62.3, train_loss:  0.769, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00308, data_load_time:  1.03e-06, total_eval_time:  6.61, test_score:  1.14e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 35. train_acc:  62.1, train_loss:  0.775, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00295, data_load_time:  9.77e-07, total_eval_time:  7.81, test_score:  1.5e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 36. train_acc:  62, train_loss:  0.779, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00298, data_load_time:  1.01e-06, total_eval_time:  7.01, test_score:  1.3e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 37. train_acc:  62.2, train_loss:  0.771, data_points:  5.4e+05, total_data_gen_time:  86.7, train_time:  0.00296, data_load_time:  1.03e-06, total_eval_time:  6.02, test_score:  1.08e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 38. train_acc:  62.4, train_loss:  0.766, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00304, data_load_time:  1.03e-06, total_eval_time:  5.95, test_score:  1.16e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 39. train_acc:  62.5, train_loss:  0.762, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00313, data_load_time:  1.06e-06, total_eval_time:  6.49, test_score:  1.14e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 40. train_acc:  62.7, train_loss:  0.756, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00299, data_load_time:  9.38e-07, total_eval_time:  5.83, test_score:  1.03e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 41. train_acc:  62.8, train_loss:  0.755, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00306, data_load_time:  1.08e-06, total_eval_time:  8.05, test_score:  1.24e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 42. train_acc:  62.9, train_loss:  0.753, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00306, data_load_time:  9.81e-07, total_eval_time:  6.08, test_score:  1.1e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 43. train_acc:  63, train_loss:  0.745, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00315, data_load_time:  9.92e-07, total_eval_time:  6.92, test_score:  1.48e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 44. train_acc:  63, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00303, data_load_time:  1.03e-06, total_eval_time:  6.69, test_score:  1.05e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 45. train_acc:  63.1, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  87, train_time:  0.00309, data_load_time:  9.45e-07, total_eval_time:  6.21, test_score:  1.14e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 46. train_acc:  63.2, train_loss:  0.735, data_points:  5.4e+05, total_data_gen_time:  88, train_time:  0.00296, data_load_time:  8.58e-07, total_eval_time:  5.94, test_score:  9.18e+03, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 47. train_acc:  63.2, train_loss:  0.738, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00348, data_load_time:  9.79e-07, total_eval_time:  6.41, test_score:  1.4e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 48. train_acc:  63.1, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.0036, data_load_time:  1.09e-06, total_eval_time:  7.03, test_score:  1.12e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 49. train_acc:  63.2, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00298, data_load_time:  9.22e-07, total_eval_time:  6.72, test_score:  1.07e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 50. train_acc:  63.2, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  85.5, train_time:  0.00306, data_load_time:  1.02e-06, total_eval_time:  7.27, test_score:  1.22e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 51. train_acc:  63.2, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00314, data_load_time:  1.04e-06, total_eval_time:  6.93, test_score:  1.31e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 52. train_acc:  63.3, train_loss:  0.74, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00317, data_load_time:  1.11e-06, total_eval_time:  6.77, test_score:  1.19e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 53. train_acc:  63.2, train_loss:  0.74, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00301, data_load_time:  1e-06, total_eval_time:  6.45, test_score:  1.13e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 54. train_acc:  63.1, train_loss:  0.742, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00315, data_load_time:  1.06e-06, total_eval_time:  6.54, test_score:  1.66e+04, best_score:  1.66e+04, current lr:  0.0001, 
