nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_045746-4u8otik3
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_001_3
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/4u8otik3
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BreakoutNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_001_3
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 37. train_acc:  73.8, train_loss:  0.426, data_points:  5.4e+05, total_data_gen_time:  84.3, train_time:  0.00578, data_load_time:  9.91e-07, total_eval_time:  7.05, test_score:  574, best_score:  641, current lr:  0.0001, 
Epoch 38. train_acc:  73.9, train_loss:  0.422, data_points:  5.4e+05, total_data_gen_time:  83, train_time:  0.00567, data_load_time:  9.78e-07, total_eval_time:  175, test_score:  77, best_score:  641, current lr:  0.0001, 
Epoch 39. train_acc:  74, train_loss:  0.419, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.0055, data_load_time:  8.7e-07, total_eval_time:  146, test_score:  108, best_score:  641, current lr:  0.0001, 
Epoch 40. train_acc:  74.2, train_loss:  0.415, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00568, data_load_time:  9.2e-07, total_eval_time:  178, test_score:  55, best_score:  641, current lr:  0.0001, 
Epoch 41. train_acc:  74.3, train_loss:  0.412, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00565, data_load_time:  9.62e-07, total_eval_time:  180, test_score:  186, best_score:  641, current lr:  0.0001, 
Epoch 42. train_acc:  74.5, train_loss:  0.409, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00549, data_load_time:  9.99e-07, total_eval_time:  109, test_score:  93, best_score:  641, current lr:  0.0001, 
Epoch 43. train_acc:  74.7, train_loss:  0.405, data_points:  5.4e+05, total_data_gen_time:  83.9, train_time:  0.00543, data_load_time:  9.77e-07, total_eval_time:  5, test_score:  138, best_score:  641, current lr:  0.0001, 
Epoch 44. train_acc:  74.5, train_loss:  0.407, data_points:  5.4e+05, total_data_gen_time:  83.2, train_time:  0.00538, data_load_time:  9.14e-07, total_eval_time:  194, test_score:  190, best_score:  641, current lr:  0.0001, 
Epoch 45. train_acc:  74.7, train_loss:  0.403, data_points:  5.4e+05, total_data_gen_time:  87.6, train_time:  0.00506, data_load_time:  9.06e-07, total_eval_time:  178, test_score:  222, best_score:  641, current lr:  0.0001, 
Epoch 46. train_acc:  74.7, train_loss:  0.403, data_points:  5.4e+05, total_data_gen_time:  83.6, train_time:  0.0059, data_load_time:  9.06e-07, total_eval_time:  177, test_score:  86, best_score:  641, current lr:  0.0001, 
Epoch 47. train_acc:  74.6, train_loss:  0.403, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00553, data_load_time:  9.6e-07, total_eval_time:  6.23, test_score:  247, best_score:  641, current lr:  0.0001, 
Epoch 48. train_acc:  74.7, train_loss:  0.401, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00541, data_load_time:  9.83e-07, total_eval_time:  176, test_score:  248, best_score:  641, current lr:  0.0001, 
Epoch 49. train_acc:  74.9, train_loss:  0.396, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00528, data_load_time:  8.61e-07, total_eval_time:  142, test_score:  357, best_score:  641, current lr:  0.0001, 
Epoch 50. train_acc:  75, train_loss:  0.395, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00457, data_load_time:  8.53e-07, total_eval_time:  180, test_score:  44, best_score:  641, current lr:  0.0001, 
Epoch 51. train_acc:  75.1, train_loss:  0.391, data_points:  5.4e+05, total_data_gen_time:  83.3, train_time:  0.00456, data_load_time:  7.85e-07, total_eval_time:  181, test_score:  173, best_score:  641, current lr:  0.0001, 
Epoch 52. train_acc:  75.2, train_loss:  0.391, data_points:  5.4e+05, total_data_gen_time:  86.2, train_time:  0.00452, data_load_time:  7.83e-07, total_eval_time:  180, test_score:  494, best_score:  641, current lr:  0.0001, 
Epoch 53. train_acc:  75.1, train_loss:  0.392, data_points:  5.4e+05, total_data_gen_time:  83.4, train_time:  0.00594, data_load_time:  9.46e-07, total_eval_time:  109, test_score:  431, best_score:  641, current lr:  0.0001, 
Epoch 54. train_acc:  75.2, train_loss:  0.388, data_points:  5.4e+05, total_data_gen_time:  82.9, train_time:  0.00601, data_load_time:  1.1e-06, total_eval_time:  3.92, test_score:  65, best_score:  641, current lr:  0.0001, 
Epoch 55. train_acc:  75.6, train_loss:  0.381, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.00494, data_load_time:  9.06e-07, total_eval_time:  196, test_score:  249, best_score:  641, current lr:  0.0001, 
Epoch 56. train_acc:  75.6, train_loss:  0.381, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00578, data_load_time:  1.02e-06, total_eval_time:  176, test_score:  560, best_score:  641, current lr:  0.0001, 
Epoch 57. train_acc:  75.8, train_loss:  0.378, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00557, data_load_time:  1.12e-06, total_eval_time:  175, test_score:  192, best_score:  641, current lr:  0.0001, 
Epoch 58. train_acc:  75.9, train_loss:  0.377, data_points:  5.4e+05, total_data_gen_time:  83.2, train_time:  0.00587, data_load_time:  1.05e-06, total_eval_time:  73.1, test_score:  288, best_score:  641, current lr:  0.0001, 
Epoch 59. train_acc:  76, train_loss:  0.377, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00468, data_load_time:  7.39e-07, total_eval_time:  4.12, test_score:  70, best_score:  641, current lr:  0.0001, 
Epoch 60. train_acc:  75.9, train_loss:  0.38, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00533, data_load_time:  9.26e-07, total_eval_time:  177, test_score:  132, best_score:  641, current lr:  0.0001, 
Epoch 61. train_acc:  75.9, train_loss:  0.381, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00543, data_load_time:  8.68e-07, total_eval_time:  174, test_score:  410, best_score:  641, current lr:  0.0001, 
Epoch 62. train_acc:  75.8, train_loss:  0.38, data_points:  5.4e+05, total_data_gen_time:  84.1, train_time:  0.00583, data_load_time:  9.99e-07, total_eval_time:  176, test_score:  380, best_score:  641, current lr:  0.0001, 
Epoch 63. train_acc:  75.9, train_loss:  0.378, data_points:  5.4e+05, total_data_gen_time:  83.2, train_time:  0.00596, data_load_time:  1.04e-06, total_eval_time:  180, test_score:  129, best_score:  641, current lr:  0.0001, 
Epoch 64. train_acc:  76, train_loss:  0.379, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00582, data_load_time:  1.04e-06, total_eval_time:  175, test_score:  93, best_score:  641, current lr:  0.0001, 
Epoch 65. train_acc:  75.9, train_loss:  0.381, data_points:  5.4e+05, total_data_gen_time:  81.8, train_time:  0.00585, data_load_time:  9.55e-07, total_eval_time:  177, test_score:  361, best_score:  641, current lr:  0.0001, 
Epoch 66. train_acc:  76.1, train_loss:  0.376, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.006, data_load_time:  9.9e-07, total_eval_time:  205, test_score:  359, best_score:  641, current lr:  0.0001, 
Epoch 67. train_acc:  76, train_loss:  0.378, data_points:  5.4e+05, total_data_gen_time:  112, train_time:  0.0059, data_load_time:  9.66e-07, total_eval_time:  178, test_score:  224, best_score:  641, current lr:  0.0001, 
Epoch 68. train_acc:  76.1, train_loss:  0.377, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00571, data_load_time:  9.52e-07, total_eval_time:  174, test_score:  469, best_score:  641, current lr:  0.0001, 
Epoch 69. train_acc:  75.9, train_loss:  0.377, data_points:  5.4e+05, total_data_gen_time:  82.9, train_time:  0.00598, data_load_time:  1.05e-06, total_eval_time:  142, test_score:  1.37e+03, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 70. train_acc:  76, train_loss:  0.378, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00604, data_load_time:  1.01e-06, total_eval_time:  144, test_score:  434, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 71. train_acc:  76.2, train_loss:  0.373, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00554, data_load_time:  8.89e-07, total_eval_time:  175, test_score:  336, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 72. train_acc:  76.4, train_loss:  0.372, data_points:  5.4e+05, total_data_gen_time:  82.8, train_time:  0.00548, data_load_time:  9.21e-07, total_eval_time:  141, test_score:  929, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 73. train_acc:  76.5, train_loss:  0.369, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00556, data_load_time:  9.04e-07, total_eval_time:  176, test_score:  123, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 74. train_acc:  76.3, train_loss:  0.373, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00566, data_load_time:  9.45e-07, total_eval_time:  177, test_score:  87, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 75. train_acc:  76.5, train_loss:  0.369, data_points:  5.4e+05, total_data_gen_time:  81.3, train_time:  0.00567, data_load_time:  9.74e-07, total_eval_time:  173, test_score:  683, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 76. train_acc:  76.5, train_loss:  0.369, data_points:  5.4e+05, total_data_gen_time:  84.2, train_time:  0.00577, data_load_time:  1.01e-06, total_eval_time:  111, test_score:  551, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 77. train_acc:  76.6, train_loss:  0.367, data_points:  5.4e+05, total_data_gen_time:  80.9, train_time:  0.00567, data_load_time:  9.71e-07, total_eval_time:  191, test_score:  446, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 78. train_acc:  76.6, train_loss:  0.368, data_points:  5.4e+05, total_data_gen_time:  83.9, train_time:  0.00582, data_load_time:  1e-06, total_eval_time:  176, test_score:  166, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 79. train_acc:  76.7, train_loss:  0.365, data_points:  5.4e+05, total_data_gen_time:  83.4, train_time:  0.00589, data_load_time:  9.87e-07, total_eval_time:  174, test_score:  24, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 80. train_acc:  76.9, train_loss:  0.361, data_points:  5.4e+05, total_data_gen_time:  82.2, train_time:  0.00595, data_load_time:  9.91e-07, total_eval_time:  176, test_score:  215, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 81. train_acc:  76.6, train_loss:  0.365, data_points:  5.4e+05, total_data_gen_time:  83.1, train_time:  0.00567, data_load_time:  9.7e-07, total_eval_time:  146, test_score:  144, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 82. train_acc:  76.5, train_loss:  0.367, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00581, data_load_time:  9.87e-07, total_eval_time:  182, test_score:  92, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 83. train_acc:  76.5, train_loss:  0.368, data_points:  5.4e+05, total_data_gen_time:  84.1, train_time:  0.00612, data_load_time:  9.5e-07, total_eval_time:  175, test_score:  265, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 84. train_acc:  76.7, train_loss:  0.362, data_points:  5.4e+05, total_data_gen_time:  82, train_time:  0.0059, data_load_time:  1.11e-06, total_eval_time:  174, test_score:  671, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 85. train_acc:  76.8, train_loss:  0.362, data_points:  5.4e+05, total_data_gen_time:  84.2, train_time:  0.00552, data_load_time:  8.65e-07, total_eval_time:  109, test_score:  342, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 86. train_acc:  76.7, train_loss:  0.362, data_points:  5.4e+05, total_data_gen_time:  84.1, train_time:  0.00548, data_load_time:  9.24e-07, total_eval_time:  177, test_score:  89, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 87. train_acc:  76.7, train_loss:  0.361, data_points:  5.4e+05, total_data_gen_time:  82.2, train_time:  0.00569, data_load_time:  1.05e-06, total_eval_time:  113, test_score:  1.11e+03, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 88. train_acc:  76.7, train_loss:  0.36, data_points:  5.4e+05, total_data_gen_time:  84.3, train_time:  0.00562, data_load_time:  9.46e-07, total_eval_time:  191, test_score:  746, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 89. train_acc:  76.8, train_loss:  0.357, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00586, data_load_time:  9.86e-07, total_eval_time:  179, test_score:  1.12e+03, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 90. train_acc:  76.6, train_loss:  0.361, data_points:  5.4e+05, total_data_gen_time:  83.2, train_time:  0.00586, data_load_time:  9.54e-07, total_eval_time:  144, test_score:  698, best_score:  1.37e+03, current lr:  0.0001, 
Epoch 91. train_acc:  76.7, train_loss:  0.361, data_points:  5.4e+05, total_data_gen_time:  88.9, train_time:  0.00531, data_load_time:  8.85e-07, total_eval_time:  144, test_score:  261, best_score:  1.37e+03, current lr:  0.0001, 
