nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /home/yw3809/Projects/policy_distillation/src/wandb/run-20250311_160852-3k76eksh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn5_pd_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/3k76eksh
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn5
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn5_pd_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 30. train_acc:  35.8, train_loss:  0.949, data_points:  5.4e+05, total_data_gen_time:  33.6, train_time:  0.000601, data_load_time:  2.71e-07, total_eval_time:  15.9, test_score:  2.51e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 31. train_acc:  36, train_loss:  0.946, data_points:  5.4e+05, total_data_gen_time:  34.4, train_time:  0.00059, data_load_time:  2.77e-07, total_eval_time:  4.24, test_score:  3.1e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 32. train_acc:  36.2, train_loss:  0.944, data_points:  5.4e+05, total_data_gen_time:  34.5, train_time:  0.000589, data_load_time:  2.79e-07, total_eval_time:  3.34, test_score:  528, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 33. train_acc:  36.2, train_loss:  0.945, data_points:  5.4e+05, total_data_gen_time:  34.2, train_time:  0.000564, data_load_time:  2.59e-07, total_eval_time:  29.9, test_score:  2.6e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 34. train_acc:  36.4, train_loss:  0.939, data_points:  5.4e+05, total_data_gen_time:  33.8, train_time:  0.00062, data_load_time:  2.81e-07, total_eval_time:  3.11, test_score:  1.72e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 35. train_acc:  36.4, train_loss:  0.94, data_points:  5.4e+05, total_data_gen_time:  33.5, train_time:  0.000578, data_load_time:  2.62e-07, total_eval_time:  4.21, test_score:  1.68e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 36. train_acc:  36.6, train_loss:  0.931, data_points:  5.4e+05, total_data_gen_time:  34, train_time:  0.000573, data_load_time:  2.67e-07, total_eval_time:  3.04, test_score:  1.01e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 37. train_acc:  36.4, train_loss:  0.932, data_points:  5.4e+05, total_data_gen_time:  33.5, train_time:  0.000593, data_load_time:  2.56e-07, total_eval_time:  4.32, test_score:  2.51e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 38. train_acc:  36.7, train_loss:  0.932, data_points:  5.4e+05, total_data_gen_time:  33.3, train_time:  0.000548, data_load_time:  2.64e-07, total_eval_time:  3.23, test_score:  528, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 39. train_acc:  36.8, train_loss:  0.928, data_points:  5.4e+05, total_data_gen_time:  33.3, train_time:  0.000595, data_load_time:  2.71e-07, total_eval_time:  3.91, test_score:  1.89e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 40. train_acc:  37, train_loss:  0.927, data_points:  5.4e+05, total_data_gen_time:  33.9, train_time:  0.000616, data_load_time:  2.76e-07, total_eval_time:  3.3, test_score:  1.41e+03, best_score:  3.28e+03, current lr:  0.0001, 
